,Main_genre,Sec_genre
413,Books & Reference,
414,Photography,
415,Strategy,
416,Simulation,
417,Action,
418,Tools,
419,Arcade,
420,Music,
421,Entertainment,
422,Music,
423,Sports,
424,Communication,
425,Action,
426,Action,
427,Travel & Local,
428,Puzzle,
429,Simulation,
430,Arcade,
431,Photography,
432,Business,
433,Photography,
434,Action,
435,Video Players & Editors,
436,Photography,
437,Travel & Local,
438,Education,
439,Role Playing,
440,Tools,
441,Tools,
442,Entertainment,
443,Personalization,
444,Lifestyle,
445,Action,
446,Simulation,
447,Role Playing,
448,Video Players & Editors,
449,Photography,
450,Word,
451,Health & Fitness,
452,Finance,
453,Entertainment,
454,Entertainment,
455,Communication,
456,Racing,
457,News & Magazines,
458,Video Players & Editors,
459,Arcade,
460,Social,
461,Productivity,
462,Strategy,
463,Casual,
464,Arcade,
465,Entertainment,
466,Tools,
467,Business,
468,Educational,Action & Adventure
469,Tools,
470,Sports,
471,Shopping,
472,Simulation,
473,Finance,
474,Communication,
475,Parenting,
476,Arcade,
477,Photography,
478,Entertainment,
479,Sports,
480,Action,
481,Personalization,
482,Tools,
483,Personalization,
484,Video Players & Editors,
485,Racing,
486,Social,
487,Casual,
488,Casual,
489,Photography,
490,Action,
491,Photography,
492,Personalization,
493,Social,
494,Puzzle,Brain Games
495,Travel & Local,
496,Tools,
497,Productivity,
498,Maps & Navigation,
499,Action,
500,Maps & Navigation,
501,Communication,
502,Entertainment,
503,Food & Drink,
504,Shopping,
505,Productivity,
506,Shopping,
507,Travel & Local,
508,Simulation,
509,Photography,
510,Casual,
511,Personalization,
512,Communication,
513,Tools,
514,Music,
515,Entertainment,
516,Shopping,
517,Sports,
518,Role Playing,
519,Strategy,
520,Simulation,
521,Action,
522,Books & Reference,
523,Productivity,
524,Tools,
525,Casual,
526,Productivity,
527,Health & Fitness,
528,Tools,
529,Books & Reference,
530,Action,
531,Shopping,
532,Racing,
533,Casual,
534,Productivity,
535,Comics,
536,Casino,
537,Photography,
538,Simulation,
539,Health & Fitness,
540,Casual,
541,Entertainment,
542,Communication,
543,Productivity,
544,Productivity,
545,Simulation,
546,Action,
547,Health & Fitness,
548,Photography,
549,Music,
550,Communication,
551,Arcade,
552,Social,
553,Simulation,
554,Tools,
555,Productivity,
556,Sports,
557,Arcade,
558,Simulation,Action & Adventure
559,Role Playing,Action & Adventure
560,Educational,Pretend Play
561,Arcade,
562,Photography,
563,Arcade,
564,Action,Action & Adventure
565,Casino,
566,Health & Fitness,
567,Role Playing,
568,News & Magazines,
569,Social,
570,Sports,
571,Action,
572,Racing,Action & Adventure
573,Dating,
574,Action,
575,Arcade,Action & Adventure
576,Photography,
577,Personalization,
578,Food & Drink,
579,Finance,
580,Arcade,
581,Video Players & Editors,
582,Action,
583,Entertainment,
584,Entertainment,
585,Health & Fitness,
586,Adventure,
587,Tools,
588,Books & Reference,
589,Productivity,
590,Tools,
591,Personalization,
592,Strategy,
593,Social,
594,Strategy,
595,Personalization,
596,Casual,
597,Food & Drink,
598,Communication,
599,Tools,
600,Travel & Local,
601,Productivity,
602,Health & Fitness,
603,Social,
604,News & Magazines,
605,Photography,
606,Simulation,
607,Racing,
608,Role Playing,
609,Tools,
610,Tools,
611,Simulation,Action & Adventure
612,Puzzle,
613,Health & Fitness,
614,Entertainment,Music & Video
615,Card,
616,Tools,
617,Arcade,
618,Photography,
619,Arcade,
620,Photography,
621,Travel & Local,
622,Sports,
623,Communication,
624,Social,
625,Role Playing,
626,Food & Drink,
627,Books & Reference,
628,Action,
629,Puzzle,
630,Card,
631,Books & Reference,
632,Shopping,
633,Social,
634,Action,
635,Communication,
636,Video Players & Editors,
637,Tools,
638,Health & Fitness,
639,Video Players & Editors,
640,Tools,
641,Tools,
642,Action,
643,Productivity,
644,Social,
645,Arcade,
646,Travel & Local,
647,Arcade,
648,Photography,
649,Tools,
650,Casual,
651,House & Home,
652,Role Playing,
653,News & Magazines,
654,Racing,
655,Social,
656,Entertainment,Creativity
657,Entertainment,
658,Sports,
659,Tools,
660,Action,
661,Action,
662,Entertainment,
663,Simulation,
664,Lifestyle,
665,Action,
666,Entertainment,
667,Productivity,
668,Card,
669,Photography,
670,Action,
671,Action,
672,Communication,
673,Entertainment,
674,Health & Fitness,
675,Health & Fitness,
676,Strategy,
677,Lifestyle,
678,Travel & Local,
679,Entertainment,
680,Casino,
681,Casual,Pretend Play
682,Role Playing,Action & Adventure
683,Adventure,
684,Entertainment,
685,Tools,
686,Shopping,
687,Role Playing,
688,Books & Reference,
689,Social,
690,Casino,
691,Finance,
692,Video Players & Editors,
693,Business,
694,Casual,Action & Adventure
695,Strategy,
696,Board,
697,Photography,
698,Tools,
699,Arcade,
